state,density
Alabama,2138093
Alaska,64356
Arizona,204354
Arkansas,1574449
California,2377549
Colorado,799024
Connecticut,1114756
Delaware,202322
District of Columbia,331069
Florida,752619
Georgia,2609121
Hawaii,191909
Idaho,325594
Illinois,5638591
Indiana,2700876
Iowa,2224771
Kansas,1690949
Kentucky,2289905
Louisiana,1656388
Maine,742371
Maryland,1295346
Massachusetts,3366416
Michigan,2810173
Minnesota,2075708
Mississippi,1797114
Missouri,3293335
Montana,376053
Nebraska,1192214
Nevada,81875
New Hampshire,430572
New Jersey,2537167
New Mexico,327301
New York,9113614
North Carolina,2206287
North Dakota,577056
Ohio,4767121
Oklahoma,1657155
Oregon,672765
Pennsylvania,7665111
Rhode Island,542610
South Carolina,1515400
South Dakota,583888
Tennessee,2184789
Texas,3896542
Utah,373351
Vermont,355956
Virginia,2061612
Washington,1141990
West Virginia,1221119
Wisconsin,2333860
Wyoming,145965
Puerto Rico,1118012
