state,estimate
Alabama,4785492
Alaska,714031
Arizona,6408312
Arkansas,2921995
California,37332685
Colorado,5048644
Connecticut,3579899
Delaware,899816
District of Columbia,605183
Florida,18849098
Georgia,9713521
Hawaii,1363945
Idaho,1571010
Illinois,12841578
Indiana,6490528
Iowa,3050738
Kansas,2858850
Kentucky,4348662
Louisiana,4544996
Maine,1327730
Maryland,5788584
Massachusetts,6565524
Michigan,9877495
Minnesota,5311147
Mississippi,2970322
Missouri,5996118
Montana,990641
Nebraska,1830051
Nevada,2703284
New Hampshire,1316872
New Jersey,8803729
New Mexico,2064756
New York,19402640
North Carolina,9558915
North Dakota,674526
Ohio,11540983
Oklahoma,3759603
Oregon,3838048
Pennsylvania,12712343
Rhode Island,1053337
South Carolina,4635943
South Dakota,816325
Tennessee,6356671
Texas,25244310
Utah,2775326
Vermont,625982
Virginia,8025773
Washington,6743226
West Virginia,1854230
Wisconsin,5690263
Wyoming,564513
Puerto Rico,3721525
